internal_rel_name,external_rel_name,org_id,org_type,org_region
210,"Winter '18",CS1,NON-PREVIEW,Americas
210,"Winter '18",CS2,PREVIEW,Americas
210,"Winter '18",CS3,PREVIEW,Americas
210,"Winter '18",CS4,PREVIEW,Americas
210,"Winter '18",CS5,PREVIEW,Asia
210,"Winter '18",CS6,NON-PREVIEW,Asia
210,"Winter '18",CS7,PREVIEW,Americas
210,"Winter '18",CS8,NON-PREVIEW,Americas
210,"Winter '18",CS9,PREVIEW,Americas
210,"Winter '18",CS10,NON-PREVIEW,Americas
210,"Winter '18",CS11,PREVIEW,Americas
210,"Winter '18",CS12,PREVIEW,Americas
210,"Winter '18",CS13,PREVIEW,Americas
210,"Winter '18",CS14,PREVIEW,Americas
210,"Winter '18",CS15,PREVIEW,Americas
210,"Winter '18",CS16,NON-PREVIEW,Americas
210,"Winter '18",CS17,PREVIEW,Americas
210,"Winter '18",CS18,NON-PREVIEW,Americas
210,"Winter '18",CS19,PREVIEW,Americas
210,"Winter '18",CS20,PREVIEW,Americas
210,"Winter '18",CS21,PREVIEW,Americas
210,"Winter '18",CS22,NON-PREVIEW,Americas
210,"Winter '18",CS23,PREVIEW,Americas
210,"Winter '18",CS24,NON-PREVIEW,Americas
210,"Winter '18",CS25,PREVIEW,Americas
210,"Winter '18",CS26,PREVIEW,Americas
210,"Winter '18",CS27,PREVIEW,Americas
210,"Winter '18",CS28,PREVIEW,Americas
210,"Winter '18",CS30,PREVIEW,Americas
210,"Winter '18",CS31,PREVIEW,Asia
210,"Winter '18",CS32,PREVIEW,Americas
210,"Winter '18",CS33,NON-PREVIEW,Americas
210,"Winter '18",CS40,NON-PREVIEW,Americas
210,"Winter '18",CS41,PREVIEW,Americas
210,"Winter '18",CS42,PREVIEW,Americas
210,"Winter '18",CS43,NON-PREVIEW,Americas
210,"Winter '18",CS44,PREVIEW,Americas
210,"Winter '18",CS45,PREVIEW,Americas
210,"Winter '18",CS47,PREVIEW,Americas
210,"Winter '18",CS50,NON-PREVIEW,Americas
210,"Winter '18",CS51,PREVIEW,Americas
210,"Winter '18",CS52,NON-PREVIEW,Americas
210,"Winter '18",CS53,PREVIEW,Americas
210,"Winter '18",CS54,PREVIEW,Americas
210,"Winter '18",CS57,PREVIEW,Asia
210,"Winter '18",CS58,NON-PREVIEW,Asia
210,"Winter '18",CS59,PREVIEW,Americas
210,"Winter '18",CS60,NON-PREVIEW,Americas
210,"Winter '18",CS61,PREVIEW,Americas
210,"Winter '18",CS62,NON-PREVIEW,Americas
210,"Winter '18",CS63,PREVIEW,Americas
210,"Winter '18",CS64,NON-PREVIEW,Americas
210,"Winter '18",CS65,NON-PREVIEW,Americas
210,"Winter '18",CS66,NON-PREVIEW,Americas
210,"Winter '18",CS67,PREVIEW,Americas
210,"Winter '18",CS68,NON-PREVIEW,Americas
210,"Winter '18",CS69,PREVIEW,Americas
210,"Winter '18",CS70,NON-PREVIEW,Americas
210,"Winter '18",CS71,PREVIEW,Americas
210,"Winter '18",CS72,PREVIEW,Asia
210,"Winter '18",CS77,PREVIEW,Americas
210,"Winter '18",CS78,PREVIEW,Americas
210,"Winter '18",CS79,PREVIEW,Americas
210,"Winter '18",CS80,PREVIEW,Europe
210,"Winter '18",CS81,PREVIEW,Europe
210,"Winter '18",CS82,NON-PREVIEW,Europe
210,"Winter '18",CS83,PREVIEW,Europe
210,"Winter '18",CS84,PREVIEW,Europe
210,"Winter '18",CS85,PREVIEW,Europe
210,"Winter '18",CS86,NON-PREVIEW,Europe
210,"Winter '18",CS87,PREVIEW,Europe
210,"Winter '18",CS88,PREVIEW,Europe
210,"Winter '18",CS89,NON-PREVIEW,Europe
210,"Winter '18",CS90,NON-PREVIEW,Americas
210,"Winter '18",CS91,PREVIEW,Americas
210,"Winter '18",CS92,NON-PREVIEW,Americas
210,"Winter '18",CS93,PREVIEW,Americas
210,"Winter '18",CS94,NON-PREVIEW,Americas
210,"Winter '18",CS95,PREVIEW,Americas
210,"Winter '18",CS96,PREVIEW,Americas
210,"Winter '18",CS97,PREVIEW,Americas
210,"Winter '18",CS98,NON-PREVIEW,Americas
210,"Winter '18",CS99,PREVIEW,Americas
210,"Winter '18",CS115,NON-PREVIEW,Asia
210,"Winter '18",CS116,PREVIEW,Asia
